name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
Brook Drive,9879,677770495,4015,4014,1,263.0217330199715,1,25,,residential,6,"LINESTRING (-91.77220610000001 37.9699661, -91.7732413 37.9699614, -91.77333 37.9699692, -91.77341680000001 37.9699925, -91.77347399999999 37.9700236, -91.77351539999999 37.9700547, -91.77355679999999 37.9700982, -91.7736002 37.9701596, -91.77411290000001 37.9712705)",bike,1
Lancelot Drive,9880,677770496,4013,4016,1,85.67311403968543,1,25,,residential,6,"LINESTRING (-91.7745439 37.9722769, -91.7744982 37.9723154, -91.7744352 37.9723416, -91.77362770000001 37.9725219)",bike,1
Lancelot Drive,9881,677770496,4016,4013,1,85.67311403968542,1,25,,residential,6,"LINESTRING (-91.77362770000001 37.9725219, -91.7744352 37.9723416, -91.7744982 37.9723154, -91.7745439 37.9722769)",bike,1
Camelot Drive,9882,677770497,4017,4016,1,60.456423395460234,1,25,,residential,6,"LINESTRING (-91.7738018 37.9730474, -91.7737786 37.9729376, -91.77362770000001 37.9725219)",bike,1
Camelot Drive,9883,677770497,4016,4017,1,60.456423395460234,1,25,,residential,6,"LINESTRING (-91.77362770000001 37.9725219, -91.7737786 37.9729376, -91.7738018 37.9730474)",bike,1
Camelot Drive,9884,677770497,4016,4018,1,103.23493953365562,1,25,,residential,6,"LINESTRING (-91.77362770000001 37.9725219, -91.7733126 37.9717274, -91.7732762 37.9716358)",bike,1
Camelot Drive,9885,677770497,4018,4016,1,103.23493953365562,1,25,,residential,6,"LINESTRING (-91.7732762 37.9716358, -91.7733126 37.9717274, -91.77362770000001 37.9725219)",bike,1
Meadowbrook Drive,9886,677770498,3982,4014,1,97.05569034242306,1,25,,residential,6,"LINESTRING (-91.7751727 37.9710178, -91.77411290000001 37.9712705)",bike,1
Meadowbrook Drive,9887,677770498,4014,3982,1,97.05569034242306,1,25,,residential,6,"LINESTRING (-91.77411290000001 37.9712705, -91.7751727 37.9710178)",bike,1
Eagleson Drive,9888,677770499,4019,4020,1,117.29019729409139,1,25,,residential,6,"LINESTRING (-91.7789135 37.9726675, -91.7787462 37.9727181, -91.77867929999999 37.9727291, -91.7785872 37.9727335, -91.7779905 37.9727379, -91.7779292 37.9727291, -91.7778622 37.9727027, -91.7776698 37.9725598)",bike,1
